z k ranker order qthresh algo qid qlen latency docs_scored postings_scored heap_pushes full_sorts partial_sorts bm_skips doc_decodes freq_decodes
counters 10 original random none maxscore 146187 5 223 17165 17790 1602 0 0 0 1092 419
counters 10 original random none maxscore 148538 4 129 3515 4892 792 0 0 0 1239 203
counters 10 original random none maxscore 156493 3 109 4321 4603 1610 0 0 0 1066 250
counters 10 original random none maxscore 168216 5 54 2277 2636 668 0 0 0 414 165
counters 10 original random none maxscore 182539 3 207 21030 21403 4408 0 0 0 868 392
counters 10 original random none maxscore 183378 3 153 15117 15230 2341 0 0 0 1087 217
counters 10 original random none maxscore 19335 3 144 9628 9741 2521 0 0 0 1082 166
counters 10 original random none maxscore 207786 5 1389 79247 82102 1313 0 0 0 5350 2174
counters 10 original random none maxscore 264014 5 839 60045 63420 563 0 0 0 2928 1644
counters 10 original random none maxscore 359349 4 133 9530 9944 3288 0 0 0 697 207
counters 10 original random none maxscore 405717 4 94 7879 8173 1846 0 0 0 421 226
counters 10 original random none maxscore 443396 3 451 42890 43414 9770 0 0 0 2063 579
counters 10 original random none maxscore 451602 4 460 29835 30587 2104 0 0 0 1183 568
counters 10 original random none maxscore 47923 5 105 5415 6065 769 0 0 0 405 191
counters 10 original random none maxscore 489204 4 413 17593 20294 718 0 0 0 3062 1419
counters 10 original random none maxscore 490595 3 129 9762 10007 4042 0 0 0 769 266
counters 10 original random none maxscore 527433 5 96 3469 4659 430 0 0 0 596 212
counters 10 original random none maxscore 573724 4 1897 179489 183165 1401 0 0 0 3740 2363
counters 10 original random none maxscore 833860 5 2192 153494 158242 796 0 0 0 4970 3104
counters 10 original random none maxscore 855410 3 2838 543289 545456 14618 0 0 0 10507 5872
counters 10 original random none maxscore 87181 4 59 2859 3303 650 0 0 0 415 238
counters 10 original random none maxscore 87452 3 161 9607 9802 1169 0 0 0 795 247
counters 10 original random none maxscore 915593 8 602 30238 33725 255 0 0 0 2262 1000
counters 10 original random none maxscore 962179 4 127 5481 6024 774 0 0 0 1060 304
counters 10 doct5query random none wand 1037798 3 464 1240 2357 1240 1241 28038 0 2271 932
counters 10 doct5query random none wand 104861 4 712 731 2064 731 732 40712 0 1834 898
counters 10 doct5query random none wand 1063750 5 630 779 3302 779 780 18586 0 4345 2290
counters 10 doct5query random none wand 1103812 5 753 965 3115 965 966 23502 0 4608 1739
counters 10 doct5query random none wand 1106007 2 195 3008 3515 3008 3009 4544 0 2153 527
counters 10 doct5query random none wand 1110199 4 304 451 1215 451 452 12915 0 2334 522
counters 10 doct5query random none wand 1112341 5 1158 1078 3572 1078 1079 56069 0 5151 2044
counters 10 doct5query random none wand 1113437 4 1111 2096 5750 2096 2097 65599 0 3675 2815
counters 10 doct5query random none wand 1114646 3 766 12648 25300 12648 12649 12695 0 8082 7999
counters 10 doct5query random none wand 1114819 5 1022 807 2727 807 808 47494 0 3635 1606
counters 10 doct5query random none wand 1115776 4 110 395 800 395 396 4236 0 522 400
counters 10 doct5query random none wand 1117099 3 447 597 1532 597 598 31066 0 2298 923
counters 10 doct5query random none wand 1121402 5 223 876 2390 876 877 5729 0 1427 856
counters 10 doct5query random none wand 1121709 3 2915 6762 19827 6762 6763 202862 0 10017 9660
counters 10 doct5query random none wand 1124210 2 22 1031 1085 1031 1032 175 0 139 63
counters 10 doct5query random none wand 1129237 5 1375 617 2214 617 618 72641 0 3904 1396
counters 10 doct5query random none wand 1133167 3 267 715 1634 715 716 10389 0 2071 760
counters 10 doct5query random none wand 130510 3 81 645 1197 645 646 2090 0 854 451
counters 10 doct5query random none wand 131843 2 6 94 107 94 95 24 0 26 15
counters 10 doct5query random none wand 146187 5 147 623 1611 623 624 4145 0 1144 590
counters 10 doct5query random none wand 148538 4 330 1041 3371 1041 1042 6086 0 2685 1499
counters 10 doct5query random none wand 156493 3 155 838 1926 838 839 3534 0 1490 726
counters 10 doct5query random none wand 168216 5 77 371 1123 371 372 1037 0 592 461
counters 10 doct5query random none wand 182539 3 290 1947 3730 1947 1948 17888 0 985 394
counters 10 doct5query random none wand 183378 3 102 1370 2758 1370 1371 2908 0 784 532
counters 10 doct5query random none wand 19335 3 170 599 1199 599 600 7524 0 1309 525
counters 10 doct5query random none wand 207786 5 757 505 1293 505 506 31270 0 3965 673
counters 10 doct5query random none wand 264014 5 382 411 1482 411 412 17270 0 2193 831
counters 10 doct5query random none wand 359349 4 157 3106 6085 3106 3107 4752 0 731 427
counters 10 doct5query random none wand 405717 4 84 317 641 317 318 3556 0 503 240
counters 10 doct5query random none wand 443396 3 308 799 1459 799 800 13529 0 2564 510
counters 10 doct5query random none wand 451602 4 580 651 1430 651 652 24769 0 2722 674
counters 10 doct5query random none wand 47923 5 183 367 827 367 368 7307 0 797 269
counters 10 doct5query random none wand 489204 4 457 573 1719 573 574 19418 0 3578 936
counters 10 doct5query random none wand 490595 3 182 720 1148 720 721 6851 0 1596 326
counters 10 doct5query random none wand 527433 5 335 880 2157 880 881 7340 0 2529 542
counters 10 doct5query random none wand 573724 4 2549 1198 3947 1198 1199 183350 0 6255 2480
counters 10 doct5query random none wand 833860 5 1008 943 3456 943 944 44563 0 5422 1789
counters 10 doct5query random none wand 855410 3 24 130 258 130 131 79 0 15 13
counters 10 doct5query random none wand 87181 4 112 437 1116 437 438 3946 0 783 468
counters 10 doct5query random none wand 87452 3 255 507 866 507 508 17188 0 1365 356
counters 10 doct5query random none wand 915593 8 421 539 2789 539 540 8814 0 2405 1409
counters 10 doct5query random none wand 962179 4 210 402 878 402 403 5717 0 1916 342
counters 10 doct5query random none block_max_wand 1037798 3 742 668 813 668 669 26987 1576 1351 228
counters 10 doct5query random none block_max_wand 104861 4 1356 659 1068 659 660 49266 2069 2631 471
counters 10 doct5query random none block_max_wand 1063750 5 853 382 748 382 383 15528 6086 2388 330
counters 10 doct5query random none block_max_wand 1103812 5 1560 910 1528 910 911 33950 930 5548 595
counters 10 doct5query random none block_max_wand 1106007 2 192 849 942 849 850 4095 588 1697 120
counters 10 doct5query random none block_max_wand 1110199 4 760 423 676 423 424 17731 133 3159 216
counters 10 doct5query random none block_max_wand 1112341 5 2020 772 1181 772 773 52143 9264 5397 493
counters 10 doct5query random none block_max_wand 1113437 4 1966 1627 1921 1627 1628 63377 7269 3752 781
counters 10 doct5query random none block_max_wand 1114646 3 377 703 795 703 704 11042 10300 633 99
counters 10 doct5query random none block_max_wand 1114819 5 1608 379 653 379 380 45332 12069 2577 282
